Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle,Region_clean
137442, ARMM,84857,Enterpreneurial Activities,1,33337,25927,2060,17913,890,7925,2505,0,3948,1440,6420,3000,2240,4080,0,1480,4614,0,0,122920,Male,40,Married,Grade 1,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Single Family,10,1,6,0,Single house,Salvaged/makeshift materials,Salvaged,17,15,0,"Own house, rent-free lot with consent of owner",,0,Dug well,0,0,0,0,0,0,0,0,0,0,0,1,0,ARMM
133328, ARMM,85268,Enterpreneurial Activities,1,35143,24916,1280,17495,2894,7128,2020,0,9050,3430,9060,5400,380,3660,0,690,3078,0,0,119360,Male,71,Widowed,No Grade Completed,With Job/Business,Deep-sea fishermen,Self-employed wihout any employee,Extended Family,8,2,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,17,15,1,Own or owner-like possession of house and lot,,0,Dug well,0,0,0,0,0,0,0,0,0,0,0,3,0,ARMM
144350, ARMM,80055,Enterpreneurial Activities,1,31586,24864,280,15975,2798,9030,4660,0,7895,3660,8280,3000,380,3540,2520,1180,5670,0,21940,82800,Female,55,Widowed,No Grade Completed,With Job/Business,Root crops farmers,Self-employed wihout any employee,Extended Family,8,3,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,23,20,1,Own or owner-like possession of house and lot,Open pit,1,Dug well,1,1,0,0,0,0,0,0,2,0,0,1,0,ARMM
194080, ARMM,70425,Other sources of Income,0,29633,19890,3284,10433,2850,6460,2740,0,8155,2890,9840,4200,53828,10230,3060,1700,5304,10000,24200,24200,Male,80,Married,Grade 4,With Job/Business,Root crops farmers,Self-employed wihout any employee,Single Family,4,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,48,20,2,Own or owner-like possession of house and lot,"Water-sealed, other depository, used exclusively by household",1,Dug well,1,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
108242, ARMM,64674,Wage/Salaries,0,22999,16057,560,11145,2170,5755,5760,0,9050,2690,7290,4200,655,1680,0,1310,3972,0,7600,7600,Male,24,Married,Grade 2,With Job/Business,Carpenters and joiners,Worked for private establishment,Single Family,8,2,4,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,26,20,1,"Own house, rent-free lot with consent of owner",Open pit,0,Dug well,0,0,0,0,0,0,0,0,0,0,0,0,0,ARMM
134415, ARMM,77379,Wage/Salaries,0,29349,23975,2925,10899,2810,7460,5975,0,1560,6875,10980,6000,500,5460,2100,480,5742,0,0,39000,Female,43,Widowed,High School Graduate,With Job/Business,Hand launderers and pressers,Worked for private establishment,Extended Family,7,0,4,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Light,26,16,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Protected spring, river, stream, etc",1,0,0,0,0,0,0,0,2,0,0,0,0,ARMM
102820, ARMM,45679,Wage/Salaries,1,14108,10930,2414,12241,1795,4781,3100,312,5570,4240,14004,9600,3150,3918,1920,420,3606,1300,0,0,Female,82,Widowed,Elementary Graduate,No Job/Business,,,Extended Family,3,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,36,19,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,1,0,0,0,0,0,0,0,2,0,0,0,0,ARMM
72237, ARMM,29426,Wage/Salaries,1,8438,6080,1270,8146,1306,3089,0,0,2080,1330,10668,4800,900,2400,600,0,2922,3900,0,0,Female,80,Widowed,Elementary Graduate,No Job/Business,,,Single Family,2,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,69,17,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
202615, ARMM,85800,Wage/Salaries,0,21443,12360,5682,28825,3340,7389,3000,1248,6740,5230,33690,18000,4900,11202,2400,0,13134,11200,0,15000,Female,78,Widowed,Grade 5,No Job/Business,,,Single Family,5,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,30,26,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,0,0,0,0,2,0,0,0,0,ARMM
223190, ARMM,93736,Enterpreneurial Activities,0,27192,18970,5544,21769,2265,5595,5400,1248,9070,5570,30750,21000,1220,13398,2400,32320,6108,9600,0,137340,Male,41,Married,Elementary Graduate,With Job/Business,"General managers/managing proprietors in transportation, storage and communications",Self-employed wihout any employee,Single Family,6,2,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,36,17,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,0,0,0,0,1,0,0,0,1,ARMM
166379, ARMM,82598,Other sources of Income,0,23509,19495,5360,14108,4510,9576,5850,0,0,11917,14724,6000,5060,12090,3720,8300,7752,0,0,0,Male,24,Married,Third Year College,With Job/Business,Varnishers and related painters,Worked for private establishment,Extended Family,6,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,26,25,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,0,1,1,0,0,0,0,0,3,0,0,0,0,ARMM
115930, ARMM,58857,Wage/Salaries,1,20951,17944,2890,13598,1755,6000,800,1754,12680,2595,9300,6000,480,2640,1620,50,3738,7000,0,0,Male,60,Widowed,Second Year Post Secondary,With Job/Business,Farmhands and laborers,Worked for private establishment,Extended Family,5,1,0,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,13,35,2,Own or owner-like possession of house and lot,Closed pit,0,Dug well,0,0,0,0,0,0,0,0,3,0,0,0,0,ARMM
234305, ARMM,99994,Wage/Salaries,0,36202,27250,8780,17043,3960,12655,3325,832,6740,14690,17220,9000,1004,23760,5700,50,17916,14100,0,0,Male,55,Married,Grade 5,With Job/Business,Building construction laborers,Worked for private establishment,Extended Family,6,0,1,4,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,40,17,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,1,0,0,0,0,0,0,0,2,0,0,0,0,ARMM
102305, ARMM,51068,Enterpreneurial Activities,0,16084,11145,4742,10164,1785,6142,0,420,0,4210,11160,5400,3034,6600,0,0,3816,0,0,63000,Female,72,Widowed,Elementary Graduate,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,40,25,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,1,0,0,0,0,0,0,0,0,0,0,0,0,ARMM
100800, ARMM,58037,Other sources of Income,0,23091,18220,1735,11455,2484,5748,2525,0,3380,5300,8040,3600,886,1740,1590,50,4416,1500,0,0,Male,51,Married,High School Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Extended Family,7,0,2,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,26,17,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,1,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
105580, ARMM,61032,Enterpreneurial Activities,0,19965,11940,2038,12715,5044,5518,3500,0,0,3925,10020,5400,530,3300,1680,150,2496,0,0,52050,Female,30,Widowed,Second Year High School,With Job/Business,"Bakers, pastry cooks and confectionery makers",Self-employed wihout any employee,Single Family,5,1,3,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,23,23,1,Own or owner-like possession of house and lot,Closed pit,1,Dug well,1,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
130170, ARMM,71702,Wage/Salaries,0,23755,20400,2982,17058,1891,7033,5050,0,5970,5780,7710,4800,458,5700,1140,100,4632,8500,0,0,Male,53,Married,Elementary Graduate,With Job/Business,Building construction laborers,Worked for private establishment,Single Family,9,3,4,2,Single house,"Light material (cogon,nipa,anahaw)",Light,11,16,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",0,Dug well,0,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
109935, ARMM,61794,Wage/Salaries,0,19204,14250,1755,11986,2210,5048,5850,1040,3640,2440,9060,4800,322,3480,2160,100,5580,2100,0,0,Male,59,Widowed,Grade 4,With Job/Business,Shop salespersons and demonstrators,Worked for private establishment,Extended Family,5,0,2,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,40,17,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,Dug well,1,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
303701, ARMM,65196,Wage/Salaries,0,19129,12520,6460,14473,4730,8650,1800,0,0,23220,21930,15000,3260,17940,5760,0,40434,32500,0,0,Male,52,Married,Third Year College,With Job/Business,Traditional chiefs and heads of villages,Worked for government/government corporation,Single Family,2,0,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,29,20,3,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,2,0,0,1,0,0,0,0,4,1,0,0,1,ARMM
104458, ARMM,41740,Enterpreneurial Activities,0,13243,9810,1069,6412,1705,3905,3900,0,0,1090,8880,5400,3228,3180,0,700,3516,3500,0,78000,Female,65,Widowed,Grade 4,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Extended Family,4,1,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,12,18,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,1,0,0,0,0,0,0,0,0,0,0,0,0,ARMM
128330, ARMM,53323,Other sources of Income,0,11822,9240,1686,10495,11890,4888,2525,0,1560,1520,15846,12000,1428,3120,2400,250,3030,1500,0,0,Female,67,Married,Grade 5,No Job/Business,,,Extended Family,4,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,12,30,2,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,1,0,0,0,0,0,0,0,2,0,0,0,0,ARMM
157822, ARMM,73163,Enterpreneurial Activities,1,19528,12880,4265,11662,4932,8960,2300,0,6990,3310,17190,4800,8540,4260,4200,0,4896,0,111152,111152,Male,70,Widowed,Business and Administration Programs,With Job/Business,Coconut farmers,Self-employed wihout any employee,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,19,4,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,3,2,4,2,0,0,0,0,4,0,0,0,0,ARMM
147420, ARMM,77163,Wage/Salaries,0,22798,15345,3656,14709,2975,7490,3100,1820,7780,5060,11568,4800,1325,3540,1920,50,6540,15000,0,0,Male,58,Married,Elementary Graduate,With Job/Business,Carpenters and joiners,Worked for private establishment,Extended Family,7,1,2,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,26,17,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, shared with other household",1,Dug well,1,1,0,0,0,0,0,0,1,0,0,0,0,ARMM
101880, ARMM,55265,Wage/Salaries,0,15879,10650,1303,11599,4141,6680,2120,1680,2995,1309,6810,3900,672,2280,1200,400,4866,0,0,0,Male,37,Married,Grade 3,With Job/Business,Welders and flamecutters,Worked for private establishment,Single Family,4,1,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,11,15,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",0,Dug well,1,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
193575, ARMM,88285,Enterpreneurial Activities,0,29828,20900,4470,14830,4985,7780,8250,0,0,12179,25200,16200,1338,15354,7200,2450,8310,0,48730,138730,Male,49,Married,Third Year College,With Job/Business,Traditional chiefs and heads of villages,Worked for government/government corporation,Single Family,6,0,3,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,70,23,4,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Protected spring, river, stream, etc",1,1,0,0,0,0,0,0,3,2,0,0,1,ARMM
159730, ARMM,75511,Enterpreneurial Activities,0,21059,13655,4956,15179,2682,8732,3400,0,3268,4164,13080,4200,2235,10920,3000,400,9426,12000,0,80000,Male,31,Married,High School Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,3,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,15,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,1,0,0,0,0,0,0,0,2,1,0,0,0,ARMM
173848, ARMM,80373,Enterpreneurial Activities,1,24829,15380,2522,17029,3062,10022,11100,0,6220,3588,12252,5400,654,33720,3864,11650,6270,0,140708,140708,Male,58,Married,Grade 3,With Job/Business,Coconut farmers,Self-employed wihout any employee,Single Family,5,0,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,26,20,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,Dug well,1,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
173425, ARMM,82045,Enterpreneurial Activities,0,27770,15030,3365,19075,2720,8284,5720,0,9075,4492,10740,7200,645,13410,3900,13040,6120,0,8810,102890,Male,46,Married,Second Year High School,With Job/Business,"General managers/managing proprietors in transportation, storage and communications",Self-employed wihout any employee,Single Family,5,0,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,43,18,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Protected spring, river, stream, etc",1,1,0,0,0,0,0,0,2,1,0,0,1,ARMM
111388, ARMM,62915,Wage/Salaries,1,24906,18570,3252,12406,2073,10307,1400,0,1820,2794,8670,2400,1598,5040,480,350,2646,0,0,0,Male,48,Married,Grade 2,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,4,1,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,20,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Protected spring, river, stream, etc",0,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
247220, ARMM,96706,Wage/Salaries,0,24649,14585,9514,20746,3795,9223,8200,240,0,6963,24102,14400,930,19194,6600,1050,26214,9500,0,19400,Male,45,Married,Teacher Training and Education Sciences Programs,With Job/Business,General elementary education teaching professionals,Worked for government/government corporation,Single Family,3,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,65,16,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Protected spring, river, stream, etc",1,1,0,1,0,0,0,0,3,1,0,0,1,ARMM
68480, ARMM,27164,Enterpreneurial Activities,1,10017,7840,939,5658,1157,3579,0,0,3816,1305,13230,8400,178,2640,1200,0,1638,0,28070,52070,Male,47,Divorced/Separated,"Agriculture, Forestry, and Fishery Programs",With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,1,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,36,17,2,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Protected spring, river, stream, etc",0,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
127050, ARMM,74465,Enterpreneurial Activities,0,31188,23470,1180,8066,4415,7728,3900,0,1173,910,11850,3600,6470,4440,780,660,3618,0,40170,102570,Male,51,Married,Grade 2,With Job/Business,Root crops farmers,Self-employed wihout any employee,Extended Family,7,1,2,0,Single house,"Light material (cogon,nipa,anahaw)",Strong,15,17,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Protected spring, river, stream, etc",0,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
119550, ARMM,63365,Wage/Salaries,1,18492,15360,1842,9592,2651,10740,5080,0,0,4061,12312,3600,9474,4140,1800,2690,7392,0,0,0,Male,59,Married,High School Graduate,With Job/Business,"Construction and maintenance laborers: roads, dams and similar constructions",Worked for private establishment,Single Family,8,2,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,18,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Protected spring, river, stream, etc",1,0,0,0,0,0,0,0,0,0,0,0,0,ARMM
100392, ARMM,56431,Wage/Salaries,1,18528,13760,2471,10428,1867,9838,1950,0,3640,3038,9342,4200,1038,3240,240,650,7014,0,0,0,Male,30,Married,First Year High School,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,5,2,1,1,Single house,"Light material (cogon,nipa,anahaw)",Strong,15,15,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",0,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
357260, ARMM,160229,Wage/Salaries,0,56465,42076,6040,22275,27800,13507,5790,0,18150,10258,16770,7200,11018,21000,5400,1780,11136,35000,0,0,Male,31,Married,High School Graduate,With Job/Business,Building construction laborers,Worked for private establishment,Extended Family,14,3,3,4,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,36,17,3,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Protected spring, river, stream, etc",1,1,0,0,0,0,0,0,4,0,0,0,1,ARMM
134145, ARMM,61170,Wage/Salaries,1,23725,17640,1171,10770,2740,9268,1705,0,10860,3490,14250,4800,6097,5760,840,530,7026,0,7210,7210,Male,59,Married,Grade 3,With Job/Business,Root crops farmers,Self-employed wihout any employee,Extended Family,6,0,3,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,9,30,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Protected spring, river, stream, etc",1,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
104881, ARMM,51390,Enterpreneurial Activities,0,16374,10970,1450,7860,2225,7524,3600,0,1838,2436,10860,4800,1415,1920,684,560,4212,0,0,39000,Male,32,Married,Grade 3,With Job/Business,Motorcycle drivers,Worked for private establishment,Single Family,6,1,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,15,18,0,Rent-free house and lot with consent of owner,Closed pit,0,Dug well,0,0,0,0,0,0,0,0,1,0,0,0,0,ARMM
88635, ARMM,47505,Other sources of Income,0,16729,11910,1280,8660,927,5230,1960,0,0,918,11100,6000,550,3720,2700,1140,3468,0,0,0,Male,67,Married,Elementary Graduate,No Job/Business,,,Extended Family,3,0,1,0,Single house,"Light material (cogon,nipa,anahaw)",Light,26,25,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,0,0,0,0,0,ARMM
142285, ARMM,61686,Wage/Salaries,0,21158,17220,2345,5194,2475,5675,2770,0,0,2435,23640,18000,8100,14040,5100,1000,13512,0,0,18200,Male,58,Married,High School Graduate,With Job/Business,Protective services workers n. e. c.,Worked for private establishment,Extended Family,8,0,1,1,Single house,Mixed but predominantly light materials,Strong,14,19,2,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,0,0,0,0,0,4,0,0,0,0,ARMM
