Total Household Income,Region,Total Food Expenditure,Main Source of Income,Agricultural Household indicator,Bread and Cereals Expenditure,Total Rice Expenditure,Meat Expenditure,Total Fish and  marine products Expenditure,Fruit Expenditure,Vegetables Expenditure,Restaurant and hotels Expenditure,Alcoholic Beverages Expenditure,Tobacco Expenditure,"Clothing, Footwear and Other Wear Expenditure",Housing and water Expenditure,Imputed House Rental Value,Medical Care Expenditure,Transportation Expenditure,Communication Expenditure,Education Expenditure,Miscellaneous Goods and Services Expenditure,Special Occasions Expenditure,Crop Farming and Gardening expenses,Total Income from Entrepreneurial Acitivites,Household Head Sex,Household Head Age,Household Head Marital Status,Household Head Highest Grade Completed,Household Head Job or Business Indicator,Household Head Occupation,Household Head Class of Worker,Type of Household,Total Number of Family members,Members with age less than 5 year old,Members with age 5 - 17 years old,Total number of family members employed,Type of Building/House,Type of Roof,Type of Walls,House Floor Area,House Age,Number of bedrooms,Tenure Status,Toilet Facilities,Electricity,Main Source of Water Supply,Number of Television,Number of CD/VCD/DVD,Number of Component/Stereo set,Number of Refrigerator/Freezer,Number of Washing Machine,Number of Airconditioner,"Number of Car, Jeep, Van",Number of Landline/wireless telephones,Number of Cellular phone,Number of Personal Computer,Number of Stove with Oven/Gas Range,Number of Motorized Banca,Number of Motorcycle/Tricycle,Region_clean
115244,IVB - MIMAROPA,43055,Other sources of Income,0,9235,4865,1890,9710,1412,2325,7360,0,0,2415,22344,15000,12631,9690,0,0,2952,7700,0,0,Female,78,Widowed,Second Year High School,No Job/Business,,,Single Family,1,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,20,17,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
57865,IVB - MIMAROPA,33787,Other sources of Income,0,12129,8860,1080,4069,1135,7726,120,0,3620,1595,12072,4800,1280,1080,0,0,3342,2000,0,4080,Male,59,Married,Grade 5,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,2,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,25,24,0,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
55555,IVB - MIMAROPA,34124,Other sources of Income,1,12258,11634,2380,6690,2390,5746,0,3312,2444,1810,9090,4800,27,2562,60,0,1872,1500,19057,20449,Male,65,Married,Elementary Graduate,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,2,0,0,1,Single house,Mixed but predominantly strong materials,Very Light,11,33,1,"Own house, rent-free lot without consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
154691,IVB - MIMAROPA,83557,Other sources of Income,0,35312,29322,3462,8353,1330,4565,18765,0,0,2010,46884,36000,24923,4320,1488,23765,7038,1300,18380,18380,Male,48,Married,Business and Administration Programs,With Job/Business,Cattle and dairy farmers,Self-employed wihout any employee,Single Family,6,0,3,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,54,21,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
268491,IVB - MIMAROPA,118374,Other sources of Income,0,29855,25074,11538,7291,2110,5145,21600,0,0,7045,28752,12000,22366,16110,5622,13250,16200,4500,0,19262,Female,57,Widowed,Elementary Graduate,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,4,1,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Very Light,48,10,1,"Own house, rent-free lot with consent of owner","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,1,0,0,0,1,1,0,0,0,IVB - MIMAROPA
368121,IVB - MIMAROPA,109104,Enterpreneurial Activities,0,41389,30318,11978,8338,2176,5550,3765,5792,0,2925,92076,42000,150,3864,1848,1270,16614,24000,25800,195306,Male,74,Married,Grade 3,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,5,1,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,64,17,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,1,0,1,1,0,0,0,2,1,0,0,1,IVB - MIMAROPA
322308,IVB - MIMAROPA,121532,Wage/Salaries,0,21127,18239,5770,35774,830,5020,42535,0,4978,1005,56250,42000,35014,37674,6744,1530,14958,4330,0,97520,Male,66,Married,Grade 5,No Job/Business,,,Single Family,4,0,1,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,96,0,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,1,0,0,0,0,4,1,0,0,1,IVB - MIMAROPA
296533,IVB - MIMAROPA,124177,Wage/Salaries,0,19205,17440,30900,9744,4475,9915,780,0,0,1050,60300,36000,3628,2694,1974,0,7434,3000,0,1060,Male,56,Married,First Year College,With Job/Business,Carpenters and joiners,Worked for private establishment,Single Family,3,1,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,100,10,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,1,0,0,0,1,0,0,0,0,IVB - MIMAROPA
149105,IVB - MIMAROPA,91273,Other sources of Income,0,16931,10087,11360,31921,1057,4939,14740,0,0,3780,44706,36000,2096,10500,1638,3930,6018,1000,0,0,Female,38,Married,Computing/Information Technology Programs,No Job/Business,,,Single Family,4,0,3,0,Single house,"Light material (cogon,nipa,anahaw)",Strong,40,1,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,3,0,0,0,0,IVB - MIMAROPA
273498,IVB - MIMAROPA,116534,Other sources of Income,0,37682,29232,16613,20190,2110,7400,3805,1170,0,4700,43458,24000,3197,9228,3108,1110,21372,3000,41420,41420,Male,64,Married,Elementary Graduate,With Job/Business,Rice farmers,Self-employed wihout any employee,Single Family,7,1,3,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,80,8,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",2,0,0,1,1,0,0,0,3,1,0,0,0,IVB - MIMAROPA
133085,IVB - MIMAROPA,88755,Wage/Salaries,1,24608,20694,8496,22854,2140,5850,9100,1680,0,3635,17934,10500,1200,11748,6990,2350,6630,5900,0,10020,Male,41,Married,Engineering and Engineering Trades Programs,With Job/Business,Fishery laborers and helpers,Worked for private establishment,Single Family,5,0,3,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,12,30,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,0,1,0,0,0,2,0,0,0,1,IVB - MIMAROPA
136080,IVB - MIMAROPA,75056,Other sources of Income,0,23312,18068,7548,13042,1220,5056,16050,0,10860,1450,10626,4800,275,9474,6702,17120,8586,1060,0,2500,Male,67,Married,Grade 5,With Job/Business,Carpenters and joiners,Worked for private establishment,Single Family,4,0,1,1,Single house,Mixed but predominantly strong materials,Quite Strong,12,22,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",1,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
262310,IVB - MIMAROPA,70070,Wage/Salaries,0,26262,19402,7934,18981,1620,2595,780,510,7760,1045,14928,9000,6696,4860,672,0,3918,1000,0,109800,Female,55,Widowed,High School Graduate,With Job/Business,Cooks,Worked for private establishment,Single Family,4,1,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,29,26,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,0,0,0,0,0,0,0,3,0,0,0,0,IVB - MIMAROPA
369858,IVB - MIMAROPA,64776,Other sources of Income,0,22783,12688,8940,6784,5650,8000,60,750,0,1710,54624,27000,187256,1722,2400,0,7992,8000,0,49690,Male,59,Married,Elementary Graduate,With Job/Business,"General managers/managing proprietors in transportation, storage and communications",Self-employed wihout any employee,Extended Family,3,1,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,54,15,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,1,0,1,1,0,0,0,1,0,0,0,0,IVB - MIMAROPA
206292,IVB - MIMAROPA,84809,Enterpreneurial Activities,0,24217,18980,19304,9704,746,6420,7877,150,10860,16525,41310,12600,46069,7842,1320,6700,10002,10360,0,117082,Male,36,Married,Health Programs,With Job/Business,Farmhands and laborers,Worked for private establishment,Single Family,5,1,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,23,20,1,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
583293,IVB - MIMAROPA,49019,Wage/Salaries,0,5887,1450,7106,4526,2315,1795,17525,0,0,9850,19548,12000,706,19740,10302,0,83700,5000,0,0,Female,62,Widowed,Post Baccalaureate,With Job/Business,Agronomists and related scientists,Worked for government/government corporation,Single Family,1,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,49,20,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",3,3,0,1,1,0,0,0,2,1,0,0,1,IVB - MIMAROPA
260411,IVB - MIMAROPA,70390,Other sources of Income,0,15211,11470,8629,18302,4070,8940,260,0,0,700,51972,36000,3475,10266,1458,0,15174,2500,0,23980,Female,77,Widowed,Health Programs,No Job/Business,,,Single Family,2,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,14,45,2,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,0,0,0,0,2,0,0,0,2,IVB - MIMAROPA
137402,IVB - MIMAROPA,40044,Other sources of Income,0,12710,7956,3762,5872,1200,430,7780,0,0,1205,29466,18600,1196,23106,1800,0,11052,5000,0,42000,Female,63,Widowed,High School Graduate,With Job/Business,General managers/managing proprietors in wholesale and retail trade,Self-employed wihout any employee,Single Family,1,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,49,31,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,1,1,0,0,0,2,1,0,0,1,IVB - MIMAROPA
1127724,IVB - MIMAROPA,233583,Other sources of Income,0,28533,8606,58012,17762,7990,8184,36380,0,0,16500,197556,162600,21436,42852,43482,17200,97584,90000,0,0,Female,64,Widowed,Teacher Training and Education Sciences Programs,No Job/Business,,,Extended Family,4,0,1,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,64,7,4,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",3,1,0,1,1,0,1,0,2,2,0,0,0,IVB - MIMAROPA
275464,IVB - MIMAROPA,108991,Wage/Salaries,0,17782,8892,27006,16440,810,3180,26240,0,0,2650,45660,18600,11345,9954,7686,260,26172,1000,0,0,Female,54,Single,Business and Administration Programs,With Job/Business,Bookkeepers,Worked for government/government corporation,Single Family,3,0,0,1,Duplex,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,160,55,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",1,0,0,0,0,0,0,0,4,0,0,0,1,IVB - MIMAROPA
505877,IVB - MIMAROPA,135077,Other sources of Income,0,40252,25946,35260,6445,3540,4608,18770,0,0,23430,107580,37200,27733,23220,3378,9100,14100,6100,0,0,Female,81,Widowed,Second Year College,No Job/Business,,,Extended Family,4,0,0,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,16,41,2,"Own house, rent lot","Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,1,1,0,0,0,3,1,0,0,2,IVB - MIMAROPA
779351,IVB - MIMAROPA,280561,Wage/Salaries,0,37365,11400,14434,63351,11680,20030,54200,0,0,47080,67224,0,26560,67128,24894,7780,86238,50432,0,37200,Male,37,Married,Post Baccalaureate,With Job/Business,Civil engineers,Worked for government/government corporation,Extended Family,7,1,2,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,55,60,2,Rent house/room including lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,1,0,0,1,0,5,2,1,0,1,IVB - MIMAROPA
428150,IVB - MIMAROPA,183195,Wage/Salaries,0,31730,13620,42960,15138,8908,6270,45250,0,0,9979,62478,27600,34173,15618,16008,4485,33906,4000,0,106000,Male,55,Married,Business and Administration Programs,No Job/Business,,,Single Family,3,0,1,1,Duplex,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,101,55,4,Rent-free house and lot with consent of owner,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,0,1,2,1,1,1,4,1,1,0,0,1,IVB - MIMAROPA
177962,IVB - MIMAROPA,80311,Other sources of Income,0,33617,26980,9315,6841,1555,2445,4510,570,6154,3830,61098,36000,13809,8520,1230,1260,9894,3000,0,42854,Male,31,Married,High School Graduate,With Job/Business,General managers/managing proprietors in manufacturing,Self-employed wihout any employee,Extended Family,8,2,2,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,40,18,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,0,2,0,0,0,0,2,1,0,0,0,IVB - MIMAROPA
198617,IVB - MIMAROPA,84132,Enterpreneurial Activities,1,33354,29740,2887,16104,2928,2920,12620,1864,0,2160,46518,9600,405,10440,690,7016,5040,3825,2910,80672,Male,49,Married,High School Graduate,With Job/Business,Inland and coastal waters fishermen,Self-employed wihout any employee,Extended Family,7,1,1,2,Single house,Mixed but predominantly strong materials,Strong,72,27,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, faucet, community water system",2,1,1,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
166578,IVB - MIMAROPA,92076,Other sources of Income,0,19536,16014,9824,12788,8952,5394,20820,5726,0,6300,19626,12000,185,6420,1860,14900,6912,4360,0,49263,Male,59,Married,First Year High School,With Job/Business,"General managers/managing proprietors in transportation, storage and communications",Self-employed wihout any employee,Single Family,5,0,2,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,100,7,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",0,0,0,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
76204,IVB - MIMAROPA,42293,Wage/Salaries,0,20920,18480,2575,4246,1566,4072,1540,716,4010,220,12234,7200,1086,4002,0,0,1362,0,6736,11720,Male,49,Single,High School Graduate,With Job/Business,Building construction laborers,Worked for private establishment,Single Family,2,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,90,24,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
222934,IVB - MIMAROPA,74998,Enterpreneurial Activities,0,25882,23116,13080,9956,1080,3095,9782,2122,2646,3505,24060,7200,438,8196,102,1750,7878,21110,0,212870,Male,38,Married,High School Graduate,With Job/Business,General managers/managing proprietors in manufacturing,Employer in own family-operated farm or business,Single Family,6,1,3,0,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,54,8,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,3,0,0,1,0,0,0,1,0,0,0,2,IVB - MIMAROPA
112260,IVB - MIMAROPA,62195,Wage/Salaries,0,25991,19888,7900,10834,554,3545,195,1075,0,1555,17130,10200,6000,3666,384,0,3168,5440,0,0,Female,80,Widowed,Elementary Graduate,No Job/Business,,,Extended Family,5,2,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,14,35,4,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",2,1,1,1,1,0,0,0,1,0,0,0,0,IVB - MIMAROPA
66443,IVB - MIMAROPA,40456,Wage/Salaries,1,13930,10782,4300,15048,340,1394,810,530,0,1480,9552,7800,600,672,0,0,846,0,2970,2970,Male,58,Widowed,Second Year High School,With Job/Business,Fishery laborers and helpers,Worked for private establishment,Single Family,1,0,0,1,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,100,33,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,0,0,0,0,0,IVB - MIMAROPA
201932,IVB - MIMAROPA,72550,Other sources of Income,0,29320,23488,5363,5640,1290,6500,7818,5680,1040,7020,23574,15000,1990,3966,1404,809,6564,1544,51960,58660,Male,62,Married,Grade 5,With Job/Business,Protective services workers n. e. c.,Worked for government/government corporation,Extended Family,10,1,6,3,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Quite Strong,80,10,2,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,1,0,0,1,0,0,0,4,1,0,0,0,IVB - MIMAROPA
210455,IVB - MIMAROPA,97418,Wage/Salaries,0,23944,19091,13409,14582,5401,7454,10560,2048,2172,10540,29142,12000,2050,9768,4230,11480,14598,6737,0,5850,Male,43,Married,High School Graduate,With Job/Business,"Car, taxi and van drivers",Worked for government/government corporation,Extended Family,6,1,0,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,90,14,1,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",1,0,1,1,1,0,0,0,5,1,0,0,0,IVB - MIMAROPA
168525,IVB - MIMAROPA,94316,Wage/Salaries,0,27824,21840,4880,5905,3931,3390,39800,6784,6700,16425,19740,3600,5352,10302,2934,555,14778,2500,12507,12507,Male,52,Married,Elementary Graduate,With Job/Business,Protective services workers n. e. c.,Worked for government/government corporation,Extended Family,7,1,0,5,Single house,"Light material (cogon,nipa,anahaw)",Light,40,5,1,Own or owner-like possession of house and lot,,0,"Shared, faucet, community water system",0,0,0,0,0,0,0,0,2,0,0,0,0,IVB - MIMAROPA
69783,IVB - MIMAROPA,50014,Other sources of Income,1,20403,14351,3300,4717,3340,4019,5372,6636,0,1610,13188,3000,125,1200,174,2110,3888,1398,13974,19114,Male,41,Married,Grade 3,With Job/Business,Coconut farmers,Self-employed wihout any employee,Single Family,6,2,2,1,Single house,"Light material (cogon,nipa,anahaw)",Light,42,10,1,"Own house, rent-free lot with consent of owner",,0,"Shared, tubed/piped deep well",0,0,0,0,0,0,0,0,1,0,0,0,0,IVB - MIMAROPA
927593,IVB - MIMAROPA,161356,Wage/Salaries,0,24508,21900,21264,11372,3190,5750,66772,0,0,3700,50730,21000,25993,17184,5940,17650,67458,0,20235,20235,Male,69,Married,Third Year College,With Job/Business,Coconut farmers,Self-employed wihout any employee,Extended Family,6,1,1,2,Single house,"Strong material(galvanized,iron,al,tile,concrete,brick,stone,asbestos)",Strong,150,41,3,Own or owner-like possession of house and lot,"Water-sealed, sewer septic tank, used exclusively by household",1,"Own use, tubed/piped deep well",3,2,1,1,1,0,1,0,4,3,0,0,2,IVB - MIMAROPA
